id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
6074817,"Charming apartment, waterfront",29497060,Ariane,,Ahuntsic-Cartierville,45.56509660382796,-73.66322287808977,Entire home/apt,88,2,1,2015-07-27,0.44,1,274
4747554,Condo modern 5 min métro,6015004,Claudio,,Ahuntsic-Cartierville,45.551677159617626,-73.65154980207583,Entire home/apt,78,2,31,2015-09-13,3.38,1,135
8352005,Large cozy appartement in Montreal,44021800,Pierre-Étienne,,Ahuntsic-Cartierville,45.54567848145108,-73.63936262741419,Entire home/apt,65,1,0,,,1,334
7107388,3 bedroon fully equipped good local,6261774,Bruce,,Ahuntsic-Cartierville,45.546264569722375,-73.6400897468208,Entire home/apt,80,3,6,2015-09-08,2.40,1,268
4813554,Renovated 1 bedroom appartment,24791257,Jean-Sébastien,,Ahuntsic-Cartierville,45.56707350713991,-73.65229131997836,Entire home/apt,56,7,8,2015-09-08,1.09,1,182
7434450,Nice room in front of the park,3830576,Evelyne,,Ahuntsic-Cartierville,45.556251556983426,-73.66109668061965,Private room,50,1,3,2015-09-07,1.88,2,365
6778964,Peaceful apartement in Montreal,2371968,Marc-Olivier,,Ahuntsic-Cartierville,45.54501853232114,-73.64224136207135,Entire home/apt,78,2,3,2015-09-08,2.37,1,35
3584358,Furnished appartment to share :),18056013,Jules,,Ahuntsic-Cartierville,45.562993255147425,-73.64826308079363,Private room,50,2,0,,,1,365
3157791,Feels like home,16023399,Oualid,,Ahuntsic-Cartierville,45.5311320433473,-73.71509677049907,Private room,42,1,2,2014-09-02,0.15,1,365
8368154,FULL&BIG 4 1/2 APT 2mins hospital!,44101447,Rita,,Ahuntsic-Cartierville,45.53534468690383,-73.7201874230307,Entire home/apt,74,1,3,2015-09-30,3,1,346
8236274,"Entire apt, nice neighbourhood",7663391,Sara,,Ahuntsic-Cartierville,45.534387988979745,-73.71719085676477,Entire home/apt,166,1,0,,,3,365
5434485,The home to Stay,25058470,R,,Ahuntsic-Cartierville,45.55200603776582,-73.62998044480636,Entire home/apt,139,1,0,,,1,365
5713209,5 1/2 Villeray metro Crémazie.,29619993,Nicolas,,Ahuntsic-Cartierville,45.54824609235904,-73.6399096376669,Entire home/apt,76,1,0,,,1,280
3827590,Charming studio near the river,19695765,Marie-Claude,,Ahuntsic-Cartierville,45.54468575467197,-73.69516561398119,Entire home/apt,70,1,11,2015-09-30,1.33,1,332
453397,9 rooms perfect for families,2251007,Chantal Et Olivier,,Ahuntsic-Cartierville,45.54947415414314,-73.67184927951294,Entire home/apt,201,2,11,2015-08-26,0.28,1,116
3985072,Chambre à louer,20655499,Caroline,,Ahuntsic-Cartierville,45.5747680773451,-73.65757687944392,Private room,40,1,0,,,1,365
4172425,nice appartement,8858952,Marijo,,Ahuntsic-Cartierville,45.54559619503905,-73.64242522884224,Private room,40,1,2,2015-06-09,0.44,1,292
